stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@27km,26.8361,ver,pSA(0.5),2500,2500,0.990810,0.978490,1.003285,0.012512,0.9693,0.0368,undetermined
mini@27km,26.8361,ver,pSA(0.75),2500,2500,0.990081,0.976726,1.003619,0.013581,1.0026,0.0304,undetermined
mini@27km,26.8361,ver,pSA(1),2500,2500,0.990872,0.977247,1.004687,0.013846,1.0045,0.0320,undetermined
mini@27km,26.8361,ver,pSA(1.5),2500,2500,0.991145,0.977263,1.005224,0.014105,0.9882,0.0296,undetermined
mini@27km,26.8361,ver,pSA(2),2500,2500,0.987514,0.973943,1.001275,0.013838,1.0110,0.0328,undetermined
mini@27km,26.8361,ver,pSA(3),2500,2500,0.994861,0.982170,1.007715,0.012838,1.0286,0.0224,certified
mini@27km,26.8361,ver,pSA(4),2500,2500,0.989265,0.977689,1.000979,0.011771,0.9839,0.0308,undetermined
mini@27km,26.8361,ver,pSA(5),2500,2500,0.983069,0.972146,0.994115,0.011173,1.0005,0.0540,undetermined
mini@48km,48.1346,090,PGA,2500,2500,0.995340,0.987768,1.002970,0.007637,0.9929,0.0244,certified
mini@48km,48.1346,090,PGV,2500,2500,0.998678,0.990625,1.006797,0.008096,0.9802,0.0128,certified
mini@48km,48.1346,090,AI,2500,2500,0.997942,0.987886,1.008102,0.010129,0.9874,0.0132,certified
mini@48km,48.1346,090,CAV,2500,2500,0.999357,0.994511,1.004226,0.004861,0.9896,0.0160,certified
mini@48km,48.1346,090,Ds575,2500,2500,1.002590,0.998182,1.007019,0.004407,1.0258,0.0208,certified
mini@48km,48.1346,090,Ds595,2500,2500,1.000455,0.997864,1.003052,0.002593,0.9990,0.0164,certified
mini@48km,48.1346,090,pSA(0.01),2500,2500,0.995337,0.987770,1.002961,0.007631,0.9933,0.0244,certified
mini@48km,48.1346,090,pSA(0.02),2500,2500,0.995268,0.987729,1.002866,0.007604,0.9950,0.0244,certified
mini@48km,48.1346,090,pSA(0.03),2500,2500,0.994203,0.986750,1.001713,0.007525,0.9928,0.0284,certified
mini@48km,48.1346,090,pSA(0.05),2500,2500,0.995183,0.987940,1.002480,0.007305,1.0014,0.0288,certified
mini@48km,48.1346,090,pSA(0.075),2500,2500,1.005725,0.998012,1.013499,0.007699,1.0045,0.0376,certified
mini@48km,48.1346,090,pSA(0.1),2500,2500,1.004295,0.996162,1.012495,0.008131,0.9724,0.0260,certified
mini@48km,48.1346,090,pSA(0.15),2500,2500,1.001910,0.992955,1.010946,0.008978,0.9663,0.0188,certified
mini@48km,48.1346,090,pSA(0.2),2500,2500,1.002336,0.992895,1.011866,0.009463,1.0005,0.0128,certified
mini@48km,48.1346,090,pSA(0.25),2500,2500,0.997963,0.988039,1.007986,0.009994,1.0039,0.0196,certified
mini@48km,48.1346,090,pSA(0.3),2500,2500,0.992435,0.982139,1.002839,0.010429,0.9650,0.0288,certified
mini@48km,48.1346,090,pSA(0.4),2500,2500,1.007879,0.996757,1.019125,0.011097,0.9560,0.0440,certified
mini@48km,48.1346,090,pSA(0.5),2500,2500,0.992807,0.981528,1.004215,0.011426,1.0011,0.0284,certified
mini@48km,48.1346,090,pSA(0.75),2500,2500,1.008808,0.996310,1.021463,0.012466,0.9982,0.0320,undetermined
mini@48km,48.1346,090,pSA(1),2500,2500,0.994602,0.981683,1.007690,0.013074,1.0064,0.0268,certified
mini@48km,48.1346,090,pSA(1.5),2500,2500,1.014801,1.001612,1.028164,0.013082,1.0116,0.0328,undetermined
mini@48km,48.1346,090,pSA(2),2500,2500,0.992244,0.979157,1.005505,0.013276,1.0130,0.0284,undetermined
mini@48km,48.1346,090,pSA(3),2500,2500,0.989448,0.977245,1.001802,0.012409,0.9784,0.0304,undetermined
mini@48km,48.1346,090,pSA(4),2500,2500,0.998697,0.987080,1.010449,0.011699,0.9703,0.0216,certified
mini@48km,48.1346,090,pSA(5),2500,2500,0.995791,0.984823,1.006881,0.011075,0.9771,0.0200,certified
mini@48km,48.1346,000,PGA,2500,2500,0.999340,0.991753,1.006984,0.007620,1.0374,0.0172,certified
mini@48km,48.1346,000,PGV,2500,2500,0.986013,0.978070,0.994019,0.008088,0.9618,0.0496,undetermined
mini@48km,48.1346,000,AI,2500,2500,0.994275,0.984363,1.004287,0.010019,0.9934,0.0208,certified
